[Map]
001,H     ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 002,He  
003,Li    004,Be    ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 005,B     006,C     007,N     008,O     009,F     010,Ne
011,Na    012,Mg    ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 013,Al    014,Si    015,P     016,S     017,Cl    018,Ar 
019,K     020,Ca    021,Sc    022,Ti    023,V     024,Cr    025,Mn    026,Fe    027,Co    028,Ni    029,Cu    030,Zn    031,Ga    032,Ge    033,As    034,Se    035,Br    036,Kr
037,Rb    038,Sr    039,Y     040,Zr    041,Nb    042,Mo    043,Tc    044,Ru    045,Rh    046,Pd    047,Ag    048,Cd    049,In    050,Sn    051,Sb    052,Te    053,I     054,Xe
055,Cs    056,Ba    ######### 072,Hf    073,Ta    074,W     075,Re    076,Os    077,Ir    078,Pt    079,Au    080,Hg    081,Tl    082,Pb    083,Bi    084,Po    085,At    086,Rn
087,Fr    088,Ra    ######### 104,Rf    105,Db    106,Sg    107,Bh    108,Hs    109,Mt    110,Uun   111,Uuu   112,Uub   113,()    114,(114) 115,()    116,(116) 117,()    118,()
######### ######### 057,La    058,Ce    059,Pr    060,Nd    061,Pm    062,Sm    063,Eu    064,Gd    065,Tb    066,Dy    067,Ho    068,Er    069,Tm    070,Yb    071,Lu    #########
######### ######### 089,Ac    090,Th    091,Pa    092,U     093,Np    094,Pu    095,Am    096,Cm    097,Bk    098,Cf    099,Es    100,Fm    101,Md    102,No    103,Lr    #########

[Data]
026,Fe,Iron,55.847,2.3,1535,2750,7.87,1.8,1.17,Ancient,,,flatiron@ a metal headed golf club@ iron tool@ weapon and utensils.
027,Co,Cobalt,58.9332,(2@3),1495,2870,8.83,1.8,1.16,G. Brandt,Sweden,1735,razorblades@ alloys and biologically essential for the activity of several enzymes.
028,Ni,Nickel,58.71,(2@3),1453,2732,8.8,1.8,1.15,A. F. Cronstedt,Sweden,1751,coinage@ stainless steels and nickel alloy
029,Cu,Copper,63.546,1.2,1083,2567,8.94,1.9,1.17,Ancient,,,gun metals@ copper wires@ boilers@ bronze
030,Zn,Zinc,65.38,+2,419.6,907,7.1,1.6,1.25,A. Marggraf,Germany,1746,gutter@ alloys@ electric@ batteries@ galvanized iron and steel
031,Ga,Gallium,69.72,+3,29.78,2403,5.9,1.6,1.25,P. Lecoq de Boisbaudran,France,1875,quartz thermometers@ transistors and other semi-condutor parts/
032,Ge,Germanium,72.59,(2@4),937.4,2830,5.36,1.8,1.22,C.A. Winkler,Germany,1886,special camera lens@ transistors@ rectifiers@ computer cables
033,As,Arsenic,74.9216,(+-3@5),817,613,5.72,2.0,1.21,Albertus Magnus,Germany,1250,insecticide or drug@ agricultural pesticides.
034,Se,Selenium,78.96,(-2@4@6),217,685,4.82,2.4,1.17,J.J. Berzellius,Sweden,1817,xerox or copy machines@ photocells@ solar cells.
035,Br,Bromine,79.904,+-1.5,-7.2,58.8,3.12,2.8,1.14,A.J. Balard,France,1826,photographic film@ treatment of sea H2O or natural brines with chlorine.
036,Kr,Krypton,83.80,0,-156.6,-152.3,3.4,-,-,Sir W. Ramsay@ M. Travers,Britain,1898,flourescent lamps@ photographic flash-lamps@ basis of meter length.
037,Rb,Rubidium,85.4678,+1,38.9,686,1.53,0.8,2.16,Robert Kirchoff@ Gustav Bunsen,Germany,1861,gas scavenger in a vacumm@ photoelectric cells.
038,Sr,Strontium,87.62,+2,769,1384,2.6,1.0,1.91,Adair Crowford,Britain,1790,magnet class for color TV@ nuclear explosions@ reactor fuel.
039,Y,Yttrium,88.9059,+3,1523,3337,4.457,1.3,1.62,J. Gadolin, Finaland,1794,color TV screen@ microwave filters@ transmitter@ transducer
040,Zr,Zirconium,91.22,+4,1852,4377,6.44,1.4,1.45,M. H. Kluproth,Germany,1789,gmestone zircon@ magnets construction to electrical power.
041,Nb,Niobium,92.9064,3.5,2468,4742,8.66,1.6,1.34,C. Hatchett,Britain,1801,welding rods,super conductive magnets.
042,Mo,Molybdenum,95.94,(3@5@6),2617,4612,9.01,1.8,1.29,Carl W. Scheele,Sweden,1778,radar structural parts@ filament@ missle parts@ lubricant@ superconductor
043,Tc,Technetium,(97),(4@6@7),2172,4877,-,1.9,1.27,C. Perrier and E.G. Segre, Italy,1937,scanning body organs.
044,Ru,Ruthenium,101.07,(3@4@6@8),2310,3900,12.1,2.2,1.26,Karl Klaus,USSR@ Russia,1844,Jewelries@ platinum ores@ catalyst and alloying element.
045,Rh,Rhodium,102.9055,3.4,1966,3727,12.44,2.2,1.25,William H. Wollaston,Britain,1803,headline reflectors@ spark plugs bushings@ aircraft@ turbine engine
046,Pd,Palladium,106.4,(2@4),1554,3140,12.16,2.2,1.28,W. H. Wollaston,Britain,1803,telephone relays@ surgical instrument@ dental crowns.
047,Ag,Silver,107.868,+1,961.9,2212,10.49,1.9,1.34,Ancient,,,decorative items@ mirrors@ silverwares@ jewelry coins and photography
048,Cd,Cadmium,112.41,+2,321,765,8.65,1.7,1.41,Friedrich Stromeyer,Germany,1817,recharrgeable batteries@ bearings@ manufacture of fresible alloys.
049,In,Indium,114.82,+3,156.6,2080,7.31,1.7,1.5,F. Reich and H. T. Richter,Germany,1863,transistor rectifiers@ low melting alloys and semi-conductor devices.
